DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/26/2016,21:54,MANHATTAN,10013,40.7226266,-74.0081173,"(40.722627, -74.008117)",HUDSON STREET,VESTRY STREET,,0,0,0,0,0,0,0,0,Outside Car Distraction,Outside Car Distraction,Outside Car Distraction,,,3405297,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/02/2016,16:00,MANHATTAN,10005,40.7061417,-74.0060197,"(40.706142, -74.00602)",WATER STREET,MAIDEN LANE,,3,0,0,0,0,0,3,0,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,,,3405358,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/02/2016,20:47,MANHATTAN,10013,40.7225499,-74.006299,"(40.72255, -74.006299)",CANAL STREET,VARICK STREET,,5,0,0,0,0,0,5,0,Traffic Control Disregarded,Traffic Control Disregarded,Traffic Control Disregarded,,,3405373,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/06/2016,19:48,MANHATTAN,10007,40.7164669,-74.0130802,"(40.716467, -74.01308)",WEST STREET,WARREN STREET,,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3405391,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/16/2016,20:43,MANHATTAN,10013,40.7229288,-74.0021718,"(40.722929, -74.002172)",BROOME STREET,WOOSTER STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3405514,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/24/2016,19:34,MANHATTAN,10013,40.7208537,-74.0039287,"(40.720854, -74.003929)",CANAL STREET,WOOSTER STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,Turning Improperly,,,3405596,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/12/2016,5:53,MANHATTAN,10012,40.7249516,-73.9949094,"(40.724952, -73.994909)",EAST HOUSTON STREET,MULBERRY STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3405784,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/13/2016,23:00,MANHATTAN,10012,40.725432,-73.996771,"(40.725432, -73.996771)",BROADWAY,EAST HOUSTON STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3405794,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/24/2016,0:01,MANHATTAN,10013,40.7184302,-74.0005303,"(40.71843, -74.00053)",CANAL STREET,LAFAYETTE STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3405872,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,
03/18/2016,2:00,MANHATTAN,10011,40.7323159,-74.0005124,"(40.732316, -74.000512)",AVENUE OF THE AMERICAS,WASHINGTON PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3405907,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
