DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
4/24/2015,0.605,QUEENS,1.1,0.2451858,0.3113915,"(40.746296, -73.930408)",34 STREET,43 AVENUE,,1,0,0,0,0,0,1,0,Turning Improperly,,,,,3211447,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,
7/29/2014,1.829,MANHATTAN,0.001,0.2170345,0.2479723,"(40.718145, -73.993828)",CHRYSTIE STREET,GRAND STREET,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inexperience,Driver Inattention/Distraction,,,1000136,PASSENGER VEHICLE,PASSENGER VEHICLE,PICK-UP TRUCK,,
7/29/2014,0.543,BRONX,0.451,0.3397651,0.3220147,"(40.840875, -73.919785)",CROMWELL AVENUE,WEST 170 STREET,,0,0,0,0,0,0,0,0,Driver Inexperience,Other Vehicular,Other Vehicular,Other Vehicular,,1000256,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
7/29/2014,2.21,BRONX,0.451,0.3349845,0.3125407,"(40.836095, -73.929259)",UNIVERSITY AVENUE,WEST 166 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Lost Consciousness,,,1000833,PASSENGER VEHICLE,PASSENGER VEHICLE,UNKNOWN,,
7/31/2014,1.1,MANHATTAN,0.127,0.2796436,0.2892246,"(40.780754, -73.952575)",EAST 89 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1001319,OTHER,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
7/30/2014,0.9,BRONX,0.454,0.3145884,0.3250299,"(40.815698, -73.91677)",EAST 149 STREET,BERGEN AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Turning Improperly,,,,1001355,SMALL COM VEH(4 TIRES),SMALL COM VEH(4 TIRES),MOTORCYCLE,,
8/1/2014,1.535,MANHATTAN,0.127,0.2824603,0.294217,"(40.78357, -73.947583)",2 AVENUE,EAST 95 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Fatigued/Drowsy,,,1001818,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
7/30/2014,1.832,MANHATTAN,0.012,0.2193238,0.2419335,"(40.720434, -73.999866)",GRAND STREET,CROSBY STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1002730,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,BICYCLE,,
8/4/2014,1.004,MANHATTAN,0.032,0.3470101,0.3109161,"(40.84812, -73.930884)",WEST 181 STREET,AMSTERDAM AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,1003833,PICK-UP TRUCK,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
8/5/2014,1.33,QUEENS,1.373,0.2107351,0.3820402,"(40.711845, -73.85976)",METROPOLITAN AVENUE,WOODHAVEN BOULEVARD,,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,1004624,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
