,Time,Zip,Lat,Long,Pers i,Pers K,Ped i,Ped K,Cyc i,Cyc K,Mot i,Mot K
Time,1,-0.011137882,-0.000362077,0.002233649,0.028472702,-0.042569939,0.020840455,0.004593824,0.043819103,0,0.021580346,-0.055367661
Zip,-0.011137882,1,-0.506632323,0.529564644,0.032422951,-0.004348875,-0.052577432,-0.026576378,-0.054742031,0,0.046727563,0.013474941
Lat,-0.000362077,-0.506632323,1,0.286494325,0.056737481,0.015712515,0.036460958,0.012984782,0.026502094,0,0.049175555,0.010051744
Long,0.002233649,0.529564644,0.286494325,1,0.06155939,0.000431091,-0.012700288,-0.010633618,-0.029182007,0,0.067328349,0.00804965
Pers i,0.028472702,0.032422951,0.056737481,0.06155939,1,0.156786137,0.179467818,0.012496806,0.049464265,0,0.982198864,0.183112583
Pers K,-0.042569939,-0.004348875,0.015712515,0.000431091,0.156786137,1,-0.003942679,0.576925903,-0.004239548,0,0.16051597,0.816196343
Ped i,0.020840455,-0.052577432,0.036460958,-0.012700288,0.179467818,-0.003942679,1,-0.002274634,-0.007571976,0,0.012574093,-0.003218
Ped K,0.004593824,-0.026576378,0.012984782,-0.010633618,0.012496806,0.576925903,-0.002274634,1,-0.002445905,0,0.013312572,-0.001039481
Cyc i,0.043819103,-0.054742031,0.026502094,-0.029182007,0.049464265,-0.004239548,-0.007571976,-0.002445905,1,0,-0.035671197,-0.003460304
Cyc K,0,0,0,0,0,0,0,0,0,1,0,0
Mot i,0.021580346,0.046727563,0.049175555,0.067328349,0.982198864,0.16051597,0.012574093,0.013312572,-0.035671197,0,1,0.187101951
Mot K,-0.055367661,0.013474941,0.010051744,0.00804965,0.183112583,0.816196343,-0.003218,-0.001039481,-0.003460304,0,0.187101951,1
