F1,F3
0.546,-0.015
0.339,-0.790
-0.508,0.050
-0.549,-0.313
-0.626,-0.047
1.631,-1.357
-0.625,-0.151
0.334,-0.797
1.600,-1.720
3.854,-1.995
-0.545,-0.529
-0.337,0.843
7.049,-5.253
-0.496,-0.320
0.733,-0.111
-0.407,0.597
-0.517,0.747
-0.659,0.015
1.762,-0.333
0.695,0.266
-0.380,0.563
-0.397,0.646
-0.750,-0.056
-0.637,-0.005
-0.662,-0.251
-0.652,0.934
-0.590,0.785
-0.705,-0.190
0.523,0.144
-0.547,0.866
-0.585,-0.005
2.616,-1.101
-0.455,1.498
-0.657,-0.044
-0.687,-0.086
-0.656,-0.121
1.542,-0.554
-0.670,0.638
-0.744,-0.091
-0.706,-0.089
-0.672,0.189
0.716,0.104
-0.655,-0.342
0.495,0.141
-0.644,0.009
-0.747,-0.084
-0.707,-0.076
-0.663,-0.232
-0.016,-0.142
9.264,9.887
1.762,-0.651
-0.349,0.606
-0.381,0.535
-0.570,1.036
0.685,0.164
0.477,-0.529
0.683,-0.622
-0.495,1.033
-0.646,-0.116
2.607,-2.325
0.431,-0.862
-0.593,0.732
-0.525,1.035
-0.477,0.766
-0.544,0.600
1.728,-0.500
-0.647,-0.049
0.045,0.265
-0.646,-0.359
-0.709,-0.127
0.427,-0.839
-0.549,-0.078
-0.403,0.917
-0.725,0.276
-0.681,-0.141
-0.493,-0.028
0.545,-0.067
-0.476,0.658
-0.515,0.847
-0.528,0.802
-0.512,0.969
-0.314,1.069
-0.746,0.221
2.715,-1.677
-0.687,-0.263
0.695,0.275
-0.680,0.205
0.679,-0.011
-0.340,1.135
-0.459,0.840
-0.567,1.008
-1.019,0.839
1.439,-1.720
1.504,-0.237
-0.468,0.928
0.722,0.268
-0.636,-0.089
1.756,-0.933
2.755,-2.065
-0.458,0.548
-0.701,0.234
0.379,0.305
-0.478,-0.276
-0.311,0.810
-0.710,0.323
-0.683,-0.129
-0.657,-0.171
-0.672,-0.161
-0.634,-0.034
-0.655,-0.132
-0.555,-0.570
6.990,-4.226
1.509,-0.870
-0.647,0.527
1.596,-0.552
0.572,0.042
1.764,-0.843
0.602,0.498
-0.676,0.113
-0.388,0.921
0.624,0.479
-0.540,-0.064
-0.391,1.437
0.917,-1.951
3.683,-3.059
-0.657,-0.206
0.529,0.098
-0.682,-0.235
-0.620,0.900
-0.477,0.673
-0.326,0.780
-0.952,0.699
-0.679,0.068
-0.670,1.088
0.396,-0.893
0.419,-0.644
-0.683,0.009
-0.649,-0.027
-0.510,-0.391
-0.469,0.226
0.537,-0.914
-0.513,1.042
-0.449,1.065
-0.648,1.296
-0.459,-0.293
-0.485,-0.319
-0.462,-0.580
1.431,-1.510
