Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,1,1,0,1.1,0.3113915,0.2451858,0,0.605,0
0,1,1,0,0.001,0.2479723,0.2170345,0,1.829,0
0,0,0,0,0.451,0.3220147,0.3397651,0,0.543,0
0,0,0,0,0.451,0.3125407,0.3349845,0,2.21,0
0,0,0,0,0.127,0.2892246,0.2796436,0,1.1,0
0,2,2,0,0.454,0.3250299,0.3145884,0,0.9,0
0,0,0,0,0.127,0.294217,0.2824603,0,1.535,0
0,1,1,0,0.012,0.2419335,0.2193238,0,1.832,0
0,2,2,0,0.032,0.3109161,0.3470101,0,1.004,0
0,4,4,0,1.373,0.3820402,0.2107351,0,1.33,0
0,0,0,0,0.033,0.3247357,0.3625799,0,1.83,0
0,0,0,0,1.363,0.4677246,0.2451802,0,1.045,0
0,7,7,0,0.456,0.3357553,0.3472862,0,1.957,0
0,0,0,0,0.467,0.3418448,0.3563111,0,2.03,0
0,1,1,0,1.356,0.4424677,0.2818858,0,1.447,0
0,0,0,0,1.353,0.4094518,0.2585698,0,1.72,0
0,0,0,0,1.384,0.3428963,0.2085721,0,1.7,0
0,0,0,0,0.064,0.2706156,0.2656598,0,0.845,0
0,2,2,0,1.434,0.439688,0.1934353,0,0.851,0
0,1,1,0,1.366,0.4269988,0.2326901,0,0.525,0
0,0,0,0,1.354,0.4341206,0.2598487,0,1.93,0
0,0,0,0,1.364,0.4315574,0.2394924,0,1.9,0
0,0,0,0,0.012,0.2382684,0.2163402,0,1.73,0
0,0,0,0,0.027,0.2843295,0.2758001,0,0.73,0
0,0,0,0,0.023,0.2696274,0.2853755,0,1.62,0
0,0,0,0,1.209,0.2939062,0.120673,0,1.72,0
0,0,0,0,1.211,0.3190737,0.1662552,0,1.74,0
0,0,0,0,0.035,0.2441285,0.2644201,0,1.63,0
0,1,1,0,1.206,0.3412915,0.1700946,0,1.43,0
0,0,0,0,1.221,0.3055926,0.2194653,0,0.505,0
0,0,0,0,0.029,0.2957427,0.316066,0,0.13,0
0,3,3,0,1.225,0.2857889,0.1512039,0,0.811,0
0,0,0,0,1.692,0.4201603,0.1137613,0,0.81,0
