Pers K,,,,,,,,,,
Pers i,0,0.422,0.420,0.092,0.502,0.500,0.492,0.502,0.521,0.502
Mot i,0.422,0,0.009,0.408,0.484,0.469,0.472,0.410,0.486,0.475
Mot K,0.420,0.009,0,0.406,0.477,0.466,0.475,0.494,0.489,0.518
Zip,0.092,0.408,0.406,0,0.493,0.496,0.495,0.502,0.528,0.502
Long,0.502,0.484,0.477,0.493,0,0.235,0.753,0.526,0.506,0.527
Lat,0.500,0.469,0.466,0.496,0.235,0,0.357,0.506,0.499,0.515
Ped i,0.492,0.472,0.475,0.495,0.753,0.357,0,0.482,0.500,0.487
Time,0.502,0.410,0.494,0.502,0.526,0.506,0.482,0,0.490,0.504
Cyc i,0.521,0.486,0.489,0.528,0.506,0.499,0.500,0.490,0,0.478
,0.502,0.475,0.518,0.502,0.527,0.515,0.487,0.504,0.478,0
